"Site","Tag","Array","Genotype","NurseyGroup","FragID","T0_Method","T0_TLE","T0_NumBranch","T0_SA","T0_V","T0_Vcx","T0_SAcx","T3_Status","T3_TLE","T3_NumBranch","T3_SA","T3_V","T3_Vcx","T3_SAcx","T6_Status","T6_TLE","T6_NumBranch","T6_SA","T6_V","T6_Vcx","T6_SAcx","T9_Status","T9_TLE","T9_NumBranch","T9_SA","T9_V","T9_Vcx","T9_SAcx","T12_Status","T12_TLE","T12_NumBranch","T12_SA","T12_V","T12_Vcx","T12_SAcx","T3_Break","T6_Break","T9_Break","T12_Break","T12_Dead","T12_TOD","SevereBreak","CulumativeBreaks","X","T0_FieldTLE","T6_FieldTLE","T0_Vinter","T3_Vinter","T6_Vinter","T9_Vinter","T12_Vinter"
"Bahia Honda","25","3","62","10","4","3D",10.781,NA,54.203,17.047,37.463,66.522,"D",NA,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,0,0,1,NA,1,3,"p",1,"",10,8.9,20.416,NA,NA,NA,NA
"Bahia Honda","26","3","36","6","6","3D",5.376,NA,22.732,4.944,9.989,28.473,"A",0,0,1.255,0,0,1.255,"A",0.836,1,4.204,0.762,1.282,8.307,"A",0,0,0.332,0,0,0.332,"A",0,0,0.232,0,0,0.232,1,0,0,NA,0,13,"",1,"",6.1,0.5,5.045,0,0.52,0,0
"Bahia Honda","27","3","3","2","4","hand",8,NA,30.8839,7.63434,16.8623,38.5776,"D",NA,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,"D",2.545,1,12.975,3.708,5.608,17.141,NA,NA,NA,NA,1,3,"b",0,"dead, intact",8,6.2,9.22796,NA,NA,NA,1.9
"Bahia Honda","28","3","7","3","6","hand",5.9,NA,24.17587,5.682915,10.85798,30.14946,"D",0,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,3,"p",1,"",5.9,NA,5.175065,NA,NA,NA,NA
"Bahia Honda","29","3","1","1","6","hand",11.2,NA,41.10566,10.60794,26.01174,51.42048,"A",11.297,5,39.709,12.002,28.233,53.873,"D",NA,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,0,0,1,NA,1,6,"b",1,"dead, intact",11.2,14.8,15.4038,16.231,NA,NA,NA
"Bahia Honda","30","3","41","7","6","3D",9.236,NA,34.266,7.194,16.66,40.127,"D",0,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,3,"p",1,"",9.5,NA,9.466,NA,NA,NA,NA
"Big Pine","1","1","13","4","10","3D",7.044,NA,21.768,4.513,9.245,29.525,"A",0.602026,1,4.899857,1.128967,1.481958,8.852403,"A",0.788,1,6.169,1.313,1.801,10.373,"D",NA,NA,NA,NA,NA,NA,"D",NA,NA,NA,NA,NA,NA,1,0,NA,NA,1,9,"p",1,"",8.1,1.2,4.732,0.352991,0.488,NA,NA
"Big Pine","2","1","41","7","9","3D",7.7,NA,28.266,6.036,12.033,31.219,"A",12.307,7,32.771,7.468,22.119,46.126,"A",20.394,7,64.215,15.2,66.166,94.739,"A",25.869,12,70.642,15.589,86.856,109.328,"A",35.335,16,94.993,24.239,139.274,145.905,0,0,0,0,0,13,"",0,"",8.2,21.5,5.997,14.651,50.966,71.267,115.035
"Big Pine","3","1","62","10","8","3D",9.797,NA,44.915,12.247,26.239,52.379,"A",14.551,5,51.391,13.669,45.555,73.788,"A",1.632,1,16.795,4.744,7.681,23.812,"A",5.1,1,NA,NA,NA,NA,"A",8.108,6,30.832,7.392,18.638,38.107,0,1,0,0,0,13,"",1,"",10.5,2.6,13.992,31.886,2.937,NA,11.246
"Big Pine","4","1","50","9","7","3D",4.706,NA,21.026,5.195,10.165,28.086,"A",9.205,5,33.337,8.643,22.675,48.153,"A",12.267,4,51.5,14.027,53.295,83.796,"A",19.229,12,64.952,18.842,73.759,100.381,"A",34.596,19,102.345,33.463,145.38,151.693,0,0,0,0,0,13,"",0,"",5.2,13.2,4.97,14.032,39.268,54.917,111.917
