Site,Tag,Array,Genotype,NurseyGroup,FragID,T0_Method,T0_TLE,T0_NumBranch,T0_SA,T0_V,T0_Vcx,T0_SAcx,T3_Status,T3_TLE,T3_NumBranch,T3_SA,T3_V,T3_Vcx,T3_SAcx,T6_Status,T6_TLE,T6_NumBranch,T6_SA,T6_V,T6_Vcx,T6_SAcx,T9_Status,T9_TLE,T9_NumBranch,T9_SA,T9_V,T9_Vcx,T9_SAcx,T12_Status,T12_TLE,T12_NumBranch,T12_SA,T12_V,T12_Vcx,T12_SAcx,T3_Break,T6_Break,T9_Break,T12_Break,T12_Dead,T12_TOD,SevereBreak,CulumativeBreaks,,T0_FieldTLE,T6_FieldTLE
Big Pine,16,2,3,2,8,3D,10.321,,41.352,10.505,23.152,51.143,A,22.254,9,72.829,19.811,79.08,108.227,A,9.19,5,39.679,14.311,36.268,64.937,A,12.252,8,42.953,12.967,39.873,66.089,A,28.833,17,95.691,24.808,116.337,127.735,0,1,0,0,0,13,,1,,11.1,10.6
Big Pine,17,2,13,4,8,3D,5.995,,24.358,4.997,8.816,28.459,A,0.766,1,8.009,1.937,2.771,13.693,A,1.284,1,9.797,2.741,3.984,17.811,A,4.528,5,15.714,4.672,8.287,25.229,A,9.682,7,23.277,4.594,12.753,30.096,1,0,0,0,0,13,,1,,7.8,2.2
Big Pine,18,2,1,1,9,3D,17.67,,50.871,12.05,41.518,67.934,M,,,,,,,M,,,,,,,M,,,,,,,M,,,,,,,,,,,,,,0,,15.1,
Big Pine,19,2,41,7,7,3D,10.294,,40.129,9.092,22.558,49.908,A,0.518,1,2.695,0.885,1.07,6.804,D,,,,,,,D,,,,,,,D,,,,,,,1,,,,1,6,p,1,,11.2,
Big Pine,20,2,62,10,7,3D,10.656,,39.776,9.606,25.139,52.099,A,16.541,8,53.654,12.694,44.346,72.532,A,0.869,1,10.679,2.696,3.742,19.073,A,0.946,1,12.579,3.941,4.6,20.499,A,6.237,7,23.55,5.93,13.044,35.054,0,1,0,0,0,13,,1,,10.8,1.4
Big Pine,21,3,31,5,7,3D,3.625,,14.589,3.041,5.434,18.726,M,,,,,,,M,,,,,,,M,,,,,,,M,,,,,,,,,,,,,,0,,10.2,
Big Pine,22,3,44,8,11,3D,7.812,,40.744,15.772,24.198,51.178,A,13.856,7,59.624,12.642,44.871,75.088,A,21.007,7,81.432,20.832,112.144,131.727,A,25.63,12,98.461,31.724,163.19,166.596,A,24.193,13,86.449,29.553,126.628,143.155,0,0,0,0,0,13,,0,,8.8,16.8
Big Pine,23,3,13,4,9,3D,7.766,,27.652,4.934,16.312,39.955,A,2.149,2,10.624,2.627,4.392,15.575,A,4.162,2,18.796,4.921,9.506,25.939,A,8.605,7,29.454,9.056,20.291,42.414,A,15.646,11,38.26,8.276,27.032,48.02,1,0,0,0,0,13,b,1,,8.5,8.1
Big Pine,24,3,41,7,8,3D,7.183,,24.576,4.465,11.179,30.557,A,0.826,1,5.965147,1.253801,1.774375,9.252314,A,1.226,1,9.548,3.053,3.728,16.886,A,1.279,1,13.532,4.156,6.796,23.842,A,4.022,4,13.371,2.757,5.746,20.613,1,0,0,0,0,13,b,1,,8,2.4
Big Pine,25,3,62,10,9,3D,7.491,,35.749,9.335,18.988,41.493,A,0.629,1,4.47522,0.537994,1.194373,7.674668,D,0.629,1,5.213,1.243,1.599,9.378,D,,,,,,,D,,,,,,,1,,,,1,6,,1,,7.8,
Big Pine,26,3,3,2,7,3D,7.822,,31.386,6.841,14.681,38.748,A,1.587,1,16.811,3.569,8.151,25.146,A,3.44,2,28.696,8.48,18.786,44.677,A,12.549,10,45.793,16.909,43.274,62.16,A,20.25,11,66.221,26.493,59.709,80.033,1,0,0,0,0,13,b,1,,10.4,4.5
Big Pine,27,3,50,9,9,3D,8.447,,29.586,5.976,15.457,37.439,A,8.25,3,39.202,7.492,23.865,45.442,A,16.011,6,58.295,14.65,53.428,80.36,A,18.571,8,65.202,18.182,75.387,99.628,A,38.951,21,127.396,38.319,173.823,170.73,0,0,0,0,0,13,,0,,9.6,16.9
Big Pine,28,3,7,3,7,3D,5.03,,22.618,4.48,8.075,24.72,A,0.648,1,5.646824,0.928929,1.784688,9.726249,A,0.71,1,7.608,1.794,2.478,12.8,A,1.243,1,12.315,4.689,5.647,20.047,A,5.534,11,13.577,3.631,6.111,21.122,1,0,0,0,0,13,b,1,,6.4,1.2
