Site,Tag,Array,Genotype,NurseyGroup,FragID,T0_Method,T0_TLE,T0_NumBranch,T0_SA,T0_V,T0_Vcx,T0_SAcx,T3_Status,T3_TLE,T3_NumBranch,T3_SA,T3_V,T3_Vcx,T3_SAcx,T6_Status,T6_TLE,T6_NumBranch,T6_SA,T6_V,T6_Vcx,T6_SAcx,T9_Status,T9_TLE,T9_NumBranch,T9_SA,T9_V,T9_Vcx,T9_SAcx,T12_Status,T12_TLE,T12_NumBranch,T12_SA,T12_V,T12_Vcx,T12_SAcx,T3_Break,T6_Break,T9_Break,T12_Break,T12_Dead,T12_TOD,SevereBreak,CulumativeBreaks,,T0_FieldTLE,T6_FieldTLE
E. Sambo,1,1,41,7,12,3D,7.254,,24.917,6.83,10.346,30.63,A,1.002,1,8.613,1.919,3.142,13.369,A,1.324,1,14.368,3.458,5.773,21.847,A,1.1,1,12.776,3.208,5.222,21.176,A,3.246,4,20.597,4.504,9.872,30.526,1,0,0,0,0,13,b,1,,7.6,2
E. Sambo,2,1,1,1,11,3D,18.308,,55.162,15.327,41.144,63.908,A,30.211,14,87.001,20.269,90.078,106.367,A,33.868,13,146.715,42.678,160.666,158.086,A,45.451,21,168.428,55.702,202.716,180.971,A,96.71,36,376.313,140.272,541.46,340.877,0,0,0,0,0,13,,0,,17,32
E. Sambo,3,1,31,5,12,hand,10.3,,,,,,D,0,,,,,,D,,,,,,,D,,,,,,,D,,,,,,,1,,,,1,3,,1,,10.3,
E. Sambo,4,1,3,2,14,hand,6.9,,,,,,A,10.542,5,44.83,11.071,34.997,63.481,A,16.627,8,77.33,21.158,80.237,106.569,A,26.488,16,93.776,27.245,124.771,136.934,A,74.218,23,261.85,85.484,520.215,334.368,0,0,0,0,0,13,,0,,6.9,14
E. Sambo,5,1,44,8,13,3D,5.018,,22.387,4.095,8.164,24.88,A,7.374,4,30.658,8.389,19.638,41.802,A,8.005,3,45.551,15.589,43.634,72.016,A,15.65,11,65.079,22.776,67.076,91.968,A,37.199,21,140.53,63.447,184.434,175.912,0,0,0,0,0,13,,0,,5.4,7.3
E. Sambo,6,1,62,10,12,3D,9.696,,35.646,12.048,25.899,51.325,A,12.118,5,52.308,17.984,41.387,70.477,A,12.345,6,55.788,23.105,51.142,79.802,A,20.443,10,83.046,31.157,87.581,111.082,A,34.388,15,125.36,48.084,185.533,180.99,0,0,0,0,0,13,,0,,9.8,14.8
E. Sambo,7,1,13,4,11,hand,6.1,,,,,,A,2.243,1,13.068,2.211,4.708,15.886,A,2.525,1,15.233,3.821,7.767,22.696,A,8.064,7,28.203,7.487,16.716,35.939,A,16.057,10,47.755,12.982,37.165,60.504,1,0,0,0,0,13,b,1,,6.1,2.8
E. Sambo,8,1,7,3,12,3D,11.972,,46.753,10.807,25.238,51.304,A,12.346,4,51.509,15.024,43.962,73.141,A,24.245,6,75.491,24.259,78.699,105.292,A,23.445,13,102.987,38.74,132.032,143.529,A,47.199,21,184.681,71.068,294.109,238.129,1,0,0,0,0,13,,1,,13,17.7
E. Sambo,9,1,36,6,13,3D,7.704,,31.513,10.776,17.923,40.501,A,13.026,4,60.943,17.787,45.975,78.785,A,18.482,6,96.349,33.858,112.651,135.512,A,21.247,8,97.875,34.887,121.678,139.47,A,40.746,14,165.746,60.072,299.819,250.429,0,0,0,0,0,13,,0,,7.3,21.8
E. Sambo,10,1,50,9,10,3D,5.616,,21.37,3.465,8.238,27.198,A,14.256,6,46.717,8.828,31.062,64.103,A,2.890031,2,23.525,5.803,13.326,33.819,A,9.224,8,36.168,8.936,23.004,45.714,A,15.621,12,70.699,15.234,47.428,70.592,0,1,0,0,0,13,b,1,,6.1,2.3
E. Sambo,11,2,3,2,11,3D,9.254,,60.322,13.375,36.989,66.947,A,18.354,9,63.26,13.585,63.712,90.394,A,30.093,8,112.133,25.807,167.689,168.669,A,34.936,13,138.258,45.007,208.483,198.177,A,32.705,17,182.845,51.168,246.561,213.609,0,0,0,0,0,13,,0,,11.7,33.8
E. Sambo,12,2,44,8,15,3D,9.618,,35.863,9.603,22.152,51.685,A,16.806,8,61.926,16.117,61.952,94.777,A,20.333,9,81.919,20.362,103.275,124.862,A,1.522,1,24.017,9.352,14.225,42.597,A,7.339,12,44.032,13.141,23.986,50.69,0,0,1,0,0,13,b,1,,9.6,24.2
E. Sambo,13,2,7,3,10,3D,8.32,,42.033,6.521,16.453,39.379,A,14.533,4,54.802,15.205,41.92,72.096,A,18.927,4,90.849,27.234,105.986,128.184,A,38.699,19,151.293,55.29,234.718,210.051,A,58.668,26,207.725,71.74,295.889,239.347,0,0,0,0,0,13,,0,,10.2,20.5
E. Sambo,14,2,36,6,11,3D,10.165,,34.572,8.567,23.391,48.934,A,12.884,4,51.937,12.482,43.049,72.569,A,20.047,5,89.507,22.984,117.189,139.698,A,29.807,12,151.01,72.087,231.777,211.955,A,37.488,16,181.0306,70.403,329.649,258.254,0,0,0,0,0,13,,0,,12.4,21
E. Sambo,15,2,41,7,11,3D,7.495,,21.944,4.529,11.408,32.426,M,,,,,,,M,,,,,,,M,,,,,,,M,,,,,,,,,,,,,,0,,11.7,
E. Sambo,16,2,1,1,12,3D,5.718,,21.904,5.323,8.334,26.142,A,5.921,1,30.15,7.923,20.351,45.401,M,,,,,,,M,,,,,,,M,,,,,,,0,,,,,,,0,,6.4,
E. Sambo,17,2,31,5,11,hand,13.3,,,,,,A,2.231,1,13.0985,3.142,5.102,16.873,A,5.563,5,19.44,3.952,11.34,27.743,A,29.592,13,111.258,36.504,191.43,105.369,A,1.553,1,15.2,3.506,6.161,23.387,1,0,0,1,0,13,b,2,,13.3,5
E. Sambo,18,2,13,4,12,hand,4.1,,,,,,A,23.673,11,74.897,14.05,94.529,119.52,A,30.797,11,99.82,22.564,178.298,177.551,A,7.805,8,28.715,6.869,22.225,43.513,A,9.441,8,41.803,9.742,30.079,55.618,0,0,1,0,0,13,,1,,4.1,23.5
E. Sambo,19,2,50,9,12,hand,9.7,,,,,,A,1.017,1,7.331,2.036,2.841,12.433,A,3.293,4,15.43,3.845,7.261,22.552,A,6.838,6,23.024,6.958,14.126,33.36,A,6.611,7,24.613,5.72,12.467,29.921,1,0,0,0,0,13,b,1,,9.7,2
E. Sambo,20,2,62,10,13,3D,8.193,,36.241,11.039,17.518,44.824,A,12.854,7,57.505,15.404,49.443,81.686,A,23.365,9,100.028,29.791,139.942,154.278,A,1.455,1,32.568,15.124,24.624,60.843,A,2.745,3,63.011,34.23,49.079,77.953,0,0,1,0,0,13,b,1,,8.8,25.9
E. Sambo,21,3,13,4,13,hand,8.9,,,,,,A,13.906,8,44.784,9.443,39.701,69.289,A,20.188,11,54.783,13.351,55.517,85.484,A,30.687,19,84.378,18.106,120.47,134.301,A,41.521,18,157.606,38.991,243.194,204.971,0,0,0,0,0,13,,0,,8.9,22.3
E. Sambo,22,3,36,6,12,3D,4.389,,17.229,4.179,7.462,22.498,A,5.363,1,31.83,8.219,20.012,43.621,A,7.4329,4,50.014,16.858,54.759,85.277,A,12.865,8,69.679,30.716,76.401,99.763,A,15.353,11,102.524,54.452,126.384,138.596,0,0,0,0,0,13,,0,,5.5,5
E. Sambo,23,3,31,5,10,3D,9.805,,37.138,10.547,19.063,42.948,A,24.589,10,77.966,16.511,94.427,115.716,A,35.596,11,120.281,33.795,183.611,178.622,A,34.74,15,110.354,30.251,175.494,171.161,A,58.387,31,175.118,40.694,322.18,254.796,0,0,0,0,0,13,,0,,5.3,32.3
E. Sambo,24,3,62,10,14,3D,5.327,,20.911,5.671,9.368,26.521,A,9.684,4,41.295,10.196,27.164,55.009,A,16.77,8,67.478,21.42,84.429,112.425,A,21.865,11,96.677,31.312,131.668,142.392,A,48.391,25,204.805,89.427,315.414,245.853,0,0,0,0,0,13,,0,,6.2,12.7
E. Sambo,25,3,50,9,11,hand,6.4,,,,,,A,12.1764,8,54.835,13.597,44.465,71.626,A,22.948,10,94.298,31.875,119.672,134.696,A,36.796,19,126.221,45.103,172.787,168.483,A,65.346,27,211.64,91.493,365.573,268.492,0,0,0,0,0,13,,0,,6.4,17
E. Sambo,26,3,41,7,13,3D,8.339,,21.936,5.268,11.004,29.584,A,6.41,3,26.62,5.776,13.817,32.54,A,10.702,5,36.026,9.51,29.638,54.311,A,13.624,7,45.7332,10.924,42.544,67.264,A,20.041,11,59.106,16.273,65.362,88.563,1,0,0,0,0,13,,1,,11.3,10.2
E. Sambo,27,3,3,2,10,3D,5.565,,,,9.147,28.6,A,12.033,7,42.653,9.522,31.489,60.92,A,19.796,11,66.012,18.033,76.056,106.216,A,1.5,1,,,,,A,6.928,7,50.114,26.202,42.527,69.542,0,0,0,1,0,13,b,1,,7.6,22.6
E. Sambo,28,3,1,1,13,3D,13.008,,40.764,10.968,28.369,54.321,A,18.555,10,64.449,16.943,60.013,83.95,A,30.277,13,98.512,29.423,141.631,145.341,A,41.991,21,139.156,31.252,173.543,162.375,A,57.105,28,207.44,64.148,292.168,228.076,0,0,0,0,0,13,,0,,13.3,25.8
E. Sambo,29,3,7,3,11,3D,8.118,,33.176,7.223,14.18,36.574,A,10.382593,4,44.362431,13.259139,29.17486,57.33276,A,18.336,7,66.27,21.48,73.219,102.965,A,28.296,17,94.395,29.409,112.553,130.97,A,54.356,23,180.056,51.166,294.289,232.836,0,0,0,0,0,13,,0,,9.5,18.5
E. Sambo,30,3,44,8,14,3D,9.166,,38.033,8.62,20.252,45.443,A,15.21767,5,60.669365,15.425859,68.712509,96.617523,A,21.262,6,93.736,30.643,159.465,162.529,A,31,12,,,,,A,61.868,27,225.679,101.759,468.245,322.48,0,0,0,0,0,13,,0,,10.4,20.9
EDR,1,1,3,2,27,3D,4.693,,19.098,3.019,6.524,22.007,A,10.1,6,,,,,A,4.619,3,25.857,5.942,17.995,40.541,A,9.606,7,38.527,7.915,30.608,54.427,A,25.649,11,102.569,19.507,97.31,115.849,0,1,0,0,0,13,,1,,6.8,5
EDR,2,1,1,1,29,3D,11.568,,36.845,7.89,24.318,50.998,A,20.3,9,,,,,A,40.145,13,136.949,32.628,224.121,205.164,A,55.8576,22,161.608,44.345,304.3131,247.058,M,,,,,,,0,0,0,,,,,0,,11.7,39
EDR,3,1,41,7,19,3D,8.698,,,,,,D,0,,,,,,D,,,,,,,D,,,,,,,D,,,,,,,1,,,,1,3,,1,,8,
EDR,4,1,31,5,27,3D,6.646,,23.408,6.535,10.082,29.081,A,2.1,1,,,,,A,3.247,1,19.955,5.695,11.449,29.419,A,7.297,6,17.815,3.605,9.089,23.451,A,12.035,8,29.855,5.635,23.376,44.04,1,0,0,0,0,13,,1,,7,4.1
EDR,5,1,7,3,28,3D,10.097,,40.458,9.646,22.884,48.548,A,13.1,4,,,,,A,15.373,4,62.457,24.07,46.667,71.666,A,19.255,7,66.352,17.915,52.311,79.441,A,24.765,13,67.688,16.75,63.834,89.095,0,0,0,0,0,13,,0,partial mortality,11.6,19.8
EDR,6,1,44,8,29,3D,4.849,,23.887,5.63,12.494,33.032,A,9.4,5,,,,,A,1.253,1,15.245,4.499,7.367,27.599,A,2.764,4,16.442,4.571,7.927,26.833,A,12.385,7,42.336,9.025,32.581,55.85,0,1,0,0,0,13,,1,,5.5,1.3
EDR,7,1,62,10,30,3D,9.5,,34.036,7.962,16.639,37.299,A,19.9,9,,,,,A,0.558,1,9.552,1.778,3.49,18.29,A,1.147,1,10.718,2.701,4.525,18.717,A,4.816,5,19.851,6.281,11.937,34.367,0,1,0,0,0,13,b,1,,9.6,1.1
EDR,8,1,13,4,28,3D,7.43,,20.402,4.846,9.523,29.529,M,,,,,,,M,,,,,,,M,,,,,,,M,,,,,,,0,,,,,,,0,,6.9,
EDR,9,1,50,9,29,3D,10.431,,46.316,7.233,27.208,52.089,A,28.1,12,,,,,A,55.821,14,200.982,54.715,450.662,316.439,A,73.417,32,295.249,96.294,690.875,415.572,A,158.28,40,622.062,209.164,1774.978,766.994,0,0,0,0,0,13,,0,,11,56.3
EDR,10,1,36,6,27,3D,5.683,,25.804,6.918,10.071,28.828,A,8.9,3,,,,,A,10.284,4,53.147,15.766,50.933,80.744,A,12.91,10,63.873,20.814,60.362,85.853,A,34.012,10,146.759,40.762,174.922,165.507,0,0,0,0,0,13,,0,,5.5,10
EDR,11,2,31,5,29,3D,13.117,,35.282,9.747,25.412,50.996,A,24.6,11,,,,,A,40.079,12,132.264,33.503,218.378,192.296,A,60.94,27,182.229,42.642,340.304,258.856,A,5.911,6,44.9,8.999,32.546,61.352,0,0,0,1,0,13,,1,,12.9,32.9
EDR,12,2,1,1,27,hand,11.1,,,,,,A,25.2,13,,,,,M,,,,,,,M,,,,,,,M,,,,,,,,,,,,,,0,,11.1,
EDR,13,2,62,10,28,3D,9.96,,35.466,8.25,16.87,39.21,A,18.7,9,,,,,A,0.464,1,9.71,0.34,2.894,18.429,D,,,,,,,D,,,,,,,0,1,,,1,9,,1,,9.5,1
EDR,14,2,50,9,28,hand,6.7,,,,,,A,15.7,7,,,,,A,21.187,10,83.957,22.95,106.744,128.735,A,0.954,1,20.651,6.681,9.441,39.306,A,14.406,12,54.817,25.96,53.842,81.043,0,1,1,0,0,13,b,2,,6.7,22.1
EDR,15,2,41,7,30,3D,9.019,,30.765,5.21,16.913,40.484,A,14.8,5,,,,,A,1.705,1,12.047,3.737,5.367,18.68,A,3.143,3,13.66,4.142,6.192,20.662,A,7.627,10,30.165,5.74,14.55,34.339,0,1,0,0,0,13,b,1,,10.6,2
EDR,16,2,13,4,29,3D,6.592,,17.052,3.544,6.645,23.679,D,0,,,,,,D,,,,,,,D,,,,,,,D,,,,,,,1,,,,1,3,,1,,7.4,
EDR,17,2,3,2,28,3D,7.499,,30.306,7.189,13.708,35.559,M,,,,,,,M,,,,,,,M,,,,,,,M,,,,,,,,,,,,,,0,,8.7,
EDR,18,2,7,3,29,3D,11.02,,37.324,8.967,18.574,43.625,A,23.1,9,,,,,A,17.567,7,64.733,16.864,64.744,88.433,A,21.914,13,81.426,25.551,82.036,101.893,A,49.535,14,209.866,44.678,308.167,240.369,0,0,0,0,0,13,b,0,,11.9,19.4
EDR,19,2,36,6,28,3D,6.32,,20.433,4.399,8.192,25.624,A,8.4,3,,,,,A,2.959,1,29.401,8.723,19.851,45.832,A,5.055,4,32.579,11.579,25.23,50.49,A,6.011,7,76.812,25.032,56.489,81.399,0,1,0,0,0,13,b,1,,7.1,2.3
EDR,20,2,44,8,28,3D,7.633,,33.542,7.821,21.461,50.286,A,7.8,3,,,,,A,12.474,6,51.531,14.85,47.134,75.012,A,23.443,10,78.503,21.794,83.852,103.569,A,55.535,16,230.382,52.102,410.72,290.136,1,0,0,0,0,13,,1,,8.4,11.9
EDR,21,3,36,6,29,3D,9.55,,35.168,9.047,18.397,45.879,A,5.9,3,20.963,6.4,12.914,31.394,A,12.313,7,43.505,13.381,38.559,65.291,A,14.771,10,64.058,20.667,64.047,89.601,A,32.243,15,136.874,36.263,177.75,176.052,1,0,0,0,0,13,,1,,9.6,13.9
EDR,22,3,44,8,30,3D,9.208,,36.117,7.583,26.568,54.816,M,,,,,,,M,,,,,,,M,,,,,,,M,,,,,,,,,,,,,,0,,10.2,
EDR,23,3,31,5,30,3D,12.011,,35.74,9.554,25.215,51.595,A,19.284,13,51.058,16.522,46.405,74.691,A,44.729,14,130.446,36.538,219.84,196.362,A,69.425,24,212.353,55.853,434.048,301.24,A,125.356,29,268.198,48.487,561.32,354.041,0,0,0,0,0,13,,0,,10.7,45.6
EDR,24,3,62,10,29,3D,5.4,,21.79,5.243,9.48,25.283,D,9.046,5,27.89,10.024,18.836,39.856,D,,,,,,,D,,,,,,,D,,,,,,,0,1,,,1,3,,1,,4.7,
EDR,25,3,13,4,30,3D,4.426,,12.438,2.371,4.444,16.893,D,0,,,,,,D,,,,,,,D,,,,,,,D,,,,,,,1,,,,1,3,,1,,5.4,
EDR,26,3,3,2,29,3D,16.847,,56.023,11.915,40.088,67.59,A,23.428,12,74.935,23.187,89.752,110.646,A,37.773,12,136.155,39.925,210.753,191.287,A,62.471,23,252.792,92.883,437.627,307.771,A,107.193,30,487.266,120.061,1068.912,541.81,0,0,0,0,0,13,,0,,16.4,42.2
EDR,27,3,50,9,24,3D,21.925,,69.814,16.726,47.958,74.728,A,37.201,17,104.783,31.792,137.235,149.134,A,51.138,15,163.868,48.808,270.862,232.317,A,64.324,24,216.943,83.816,382.397,281.927,A,114.061,37,526.127,149.129,1226.554,607.934,0,0,0,0,0,13,,0,,20.5,55
EDR,28,3,41,7,29,3D,8.917,,25.905,4.723,18.059,43.742,A,12.5698,5,40.645,12.622,28.133,57.806,A,21.275,6,81.189,27.475,88.57,115.209,A,29.076,13,112.095,34.837,157.531,162.123,A,43.42,18,141.236,33.406,333.252,277.301,0,0,0,0,0,13,,0,,11.8,22.8
EDR,29,3,1,1,28,3D,12.456,,44.91,9.848,27.385,52.59,A,21.9,12,58.614,17.465,62.779,89.037,A,34.895,15,114.974,37.875,154.121,154.697,A,51.122,20,199.775,69.424,295.446,238.557,A,102.26,30,399.927,117.403,827.593,464.198,0,0,0,0,0,13,,0,,14.4,31.7
EDR,30,3,7,3,30,3D,12.293,,45.365,10.374,27.258,52.344,A,8.01,5,7.112,,,,D,0,,,,,,D,,,,,,,D,,,,,,,1,,,,1,6,,1,missing,12.1,
Looe Key,1,1,36,6,2,3D,8.586,,37.191,9.004,20.38,45.305,A,16.862,6,67.254,17.748,81.733,107.841,A,21.097,7,88.973,26.836,133.924,149.709,M,,,,,,,M,,,,,,,0,0,,,,,,0,,10.3,
Looe Key,2,1,3,2,3,3D,8.66,,38.515,9.06,20.434,45.263,A,1.423,1,8.813,2.294,3.269,13.204,A,1.562,1,8.847,2.065,3.324,13.228,A,3.468,4,10.932,2.152,4.556,15.374,A,9.144,5,26.07,5.485,16.998,36.008,1,0,0,0,0,13,b,1,,9.6,2.1
Looe Key,3,1,62,10,3,hand,12.6,,,,,,D,0,,,,,,D,,,,,,,D,,,,,,,D,,,,,,,1,,,,1,3,,1,,12.6,
Looe Key,4,1,31,5,1,3D,7.818,,29.072,5.566,13.197,34,A,19.824281,8,60.012074,13.410161,64.410355,93.323326,A,11.304,8,43.192,9.627,35.669,61.122,A,20.1106,12,62.79,14.774,65.231,89.04,A,29.093,16,90.721,22.457,116.919,130.245,0,0,0,0,0,13,,0,,9.3,11.2
Looe Key,5,1,50,9,1,3D,8.547,,40.71,8.575,24.921,54.798,A,14.712,7,49.26,10.907,42.957,74.12,A,2.227,1,13.339,3.811,6.223,19.224,A,6.907,6,18.695,4.935,9.888,25.583,A,11.974,9,31.767,6.199,20.41,39.942,0,1,0,0,0,13,,1,,9.7,2.6
Looe Key,6,1,13,4,1,3D,3.893,,14.537,4.348,6.134,19.143,D,0,,,,,,D,,,,,,,D,,,,,,,D,,,,,,,0,,,,1,3,,0,,5.1,
Looe Key,7,1,44,8,2,3D,5.245,,27.696,6.101,10.891,30.257,D,0,,,,,,D,0.438,1,2.659,0.443,0.607,5.699,D,,,,,,,D,,,,,,,1,,,,1,3,,1,,6.1,
Looe Key,8,1,1,1,3,3D,7.276,,37.988,11.971,22.017,46.816,A,17.499852,10,51.301624,12.47811,43.875984,73.275459,A,2.095,1,19.122,5.475,10.659,29.384,A,6.1,6,,,,,A,7.924,8,22.894,5.377,9.182,23.928,0,1,0,0,0,13,b,1,,6.7,2.2
Looe Key,9,1,7,3,2,3D,8.106,,27.389,8.522,16.31,37.716,A,18.06,9,59.858,15.901,54.981,80.149,A,0.532,1,4.106,0.802,1.075,6.389,A,1.026,1,5.892,1.325,2.021,9.278,A,4.878,5,11.444,2.969,4.866,16.103,0,1,0,0,0,13,b,1,,6.9,1.3
Looe Key,10,1,41,7,10,3D,7.844,,,,,,A,8.797,4,25.499,4.873,11.36,32.333,A,0.491,1,4.133,0.56,0.98,7.614,D,,,,,,,D,,,,,,,0,1,,,1,9,,1,,9.1,
Looe Key,11,2,7,3,1,3D,11.296,,40.351,13.845,27.512,55.342,A,21.992596,7,76.781639,17.438324,103.374893,126.063385,A,21.559,7,91.812,25.234,147.681,155.293,A,29.841,11,134.405,46.962,235.773,209.338,A,0,0,4.123,0,0,4.123,0,0,0,1,0,13,b,1,,10.7,24.5
Looe Key,12,2,1,1,1,3D,8.359,,34.854,10.422,23.343,48.866,A,13.19,8,49.634,13.71,38.757,66.323,A,19.484,9,67.379,18.801,71.88,95.768,A,19.497,9,69.537,21.521,63.441,85.919,A,24.851,14,93.06,22.87,75.55,96.528,0,0,0,0,0,13,,0,partial mortality,6.4,20.1
Looe Key,13,2,41,7,3,3D,4.481,,16.077,3.265,5.953,19.951,A,7.489,4,29.371,7.429,18.9,41.926,A,11.418,5,40.104,10.809,39.369,68.1,A,18.497,11,61.908,17.498,70.27,96.303,A,27.693,16,75.169,20.01,88.227,109.742,0,0,0,0,0,13,,0,,6.4,11.7
Looe Key,14,2,13,4,3,3D,6.102,,23.174,4.996,10.162,28.44,A,1.5,1,,,,,A,1.696,1,9.875,3.232,4.106,15.071,A,2.159,1,15.063,5.314,8.042,23.675,A,3.089,4,6.023,0.912,2.147,9.123,0,1,0,0,0,13,b,1,,7.8,1.8
Looe Key,15,2,31,5,2,3D,3.597,,13.672,2.338,4.874,17.219,A,2.2,1,,,,,A,3.794,2,19.704,5.53,12.313,31.771,A,10.279,7,36.622,10.59,29.879,55.332,A,18.583,12,56.486,17.067,51.34,75.097,0,1,0,0,0,13,,1,,4.4,4
Looe Key,16,2,3,2,2,3D,13.395,,48.462,11.756,37.445,64.814,A,21.549163,11,76.190437,19.764742,89.674904,114.258774,A,26.617,12,94.974,28.33,148.006,155.217,A,47.002,22,169.3,56.51,323.552,250.553,A,56.254,22,227.458,80.22,394.448,281.018,0,1,0,0,0,13,,1,,13.4,27
Looe Key,17,2,36,6,4,3D,7.55,,,,,,A,10.46265,4,46.630375,11.091997,42.406616,72.074417,A,1.869,1,25.59,7.454,16.039,44.471,A,8.304,6,44.225,19.246,38.434,70.093,A,14.05,11,86.229,39.444,68.999,91.854,0,1,0,0,0,13,b,1,,10.2,2.8
Looe Key,18,2,62,10,2,hand,9.1,,,,,,D,0,,,,,,D,0.303,1,3.791,0.586,0.776,7.435,D,,,,,,,D,,,,,,,1,,,,1,3,,1,,9.1,
Looe Key,19,2,44,8,4,3D,7.68,,32.809,6.836,14.51,37.231,A,5.315,3,23.645,5.917,12.871,30.632,A,9.038,6,36.278,12.951,29.823,54.599,A,15.936,12,56.581,15.916,48.856,73.658,A,26.26,15,91.045,37.788,99.793,113.47,1,0,0,0,0,13,,1,,8.8,8.1
Looe Key,20,2,50,9,2,3D,13.52,,67.59,17.599,50.891,79.052,A,22.18736,6,87.50528,22.756418,114.296387,132.5271,A,42.731,10,170.894,50.069,360.22,292.25,A,58.715,15,217.319,65.243,460.369,356.53,A,74.48,24,296.57,102.497,626.445,427.274,0,0,0,0,0,13,,0,,13.8,45.8
Looe Key,21,3,50,9,3,3D,14.667,,65.727,18.784,54.713,84.212,A,20.762678,8,82.647797,24.443645,85.862724,110.920998,A,31.492,13,115.045,27.988,152.931,161.474,M,,,,,,,M,,,,,,,0,0,,,,,,0,,14.7,
Looe Key,22,3,44,8,3,3D,4.069,,22.917,5.686,9.277,26.232,A,1.029,1,9.894,3.576,4.75,16.348,A,1.199,1,11.972,3.966,4.983,17.586,A,1.268,1,13.063,4.363,6.099,19.24,A,6.249,7,15.734,4.844,7.681,21.753,1,0,0,0,0,13,b,1,,5.4,1.6
Looe Key,23,3,1,1,2,3D,12.406,,48.788,15.878,33.198,58.556,A,12.78,6,42.441,11.801,29.334,53.2,A,16.797,10,55.081,15.246,45.991,70.845,M,,,,,,,M,,,,,,,0,0,,,,,,0,,10,
Looe Key,24,3,62,10,1,hand,6.3,,,,,,A,10.1,5,,,,,A,12.926,7,43.068,11.493,31.439,58.97,M,,,,,,,M,,,,,,,,,,,,,,0,,6.3,
Looe Key,25,3,13,4,2,3D,3.647,,14.827,3.66,5.91,19.358,A,4.343331,2,20.169464,4.259604,9.409608,26.097605,A,10.596,7,51.635,7.904,29.535,54.474,M,,,,,,,M,,,,,,,0,0,,,,,,0,,4.2,
Looe Key,26,3,31,5,3,3D,5.063,,23.691,5.13,10.485,29.259,A,9.62919,6,40.511425,10.957216,30.206099,56.419472,A,20.236,12,77.253,18.776,82.078,105.292,A,36.702,20,112.786,29.389,135.336,140.444,A,55.225,24,137.838,30.221,149.112,148.572,0,0,0,0,0,13,,0,,6.1,20.2
Looe Key,27,3,41,7,2,3D,9.952,,34.461,7.828,18.803,43.982,D,0,,,,,,D,,,,,,,D,,,,,,,D,,,,,,,1,,,,1,3,,1,,11.9,
Looe Key,28,3,36,6,3,3D,6.932,,26.616,5.895,12.08,33.227,A,0.54758,1,6.724902,0.883497,1.697622,12.260169,A,0.495,1,7.27,1.299,2.063,12.157,A,0.744,1,7.791,2.205,2.917,14.188,A,0,0,2.807,0,0,2.807,1,0,0,1,0,13,b,2,,8.5,0.7
Looe Key,29,3,7,3,3,3D,8.22,,28.178,8.829,20.65,45.365,A,9.149,4,38.417,10.311,29.486,54.888,A,19.397,11,70.104,21.439,79.73,101.898,A,29.762,15,98.188,26.96,124.111,130.879,A,46.125,22,163.882,59.734,229.903,197.337,1,0,0,0,0,13,,1,,8.8,19.2
Looe Key,30,3,3,2,1,3D,8.209,,35.154,8.608,20.387,46.495,A,13.33972,5,55.045,13.664,53.204,82.986,A,4.605,3,27.699,8.23,21.102,45.051,A,4.5486,4,27.112,7.572,19.641,42.871,A,14.427,12,50.556,16.243,46.013,71.358,0,1,0,0,0,13,,1,,8.9,3.6
Marker 32,1,1,50,9,25,3D,5.76,,28.913,6.987,11.708,30.51,A,15.475916,9,55.966225,12.594481,54.127888,81.504425,A,34.227,12,124.509,28.172,212.69,192.248,A,61.022,27,215.345,60.012,379.738,273.258,A,139.295,42,513.038,146.201,1236.274,592.41,0,0,0,0,0,13,,0,,6.6,34.4
Marker 32,2,1,44,8,26,3D,8.093,,33.425,8.163,19.186,44.333,A,11.374,6,43.734,11.518,32.573,61.321,A,20.768,8,74.506,21.463,103.298,125.053,A,32.339,20,106.123,32.8,155.04,156.658,A,69.825,23,272.908,83.884,535.008,346.65,0,0,0,0,0,13,,0,,10,22.5
Marker 32,3,1,36,6,24,3D,6.455,,32.361,9.641,16.325,39.818,A,27.783877,11,78.810547,14.468032,83.025627,110.714012,A,16.2287,7,63.197,14.174,59.21,90.748,A,26.343,12,121.181,51.467,178.784,179.083,A,48.134,20,187.898,77.68,353.985,278.319,0,0,0,0,0,13,,0,,6.3,21
Marker 32,4,1,1,1,24,hand,8,,,,,,A,7.398,4,40.749,9.497,27.167,52.199,A,21.56,11,83.819,23.243,126.316,137.484,A,25.6342,15,105.146,31.304,151.813,153.092,A,68.658,25,247.463,94.491,475.242,380.751,1,0,0,0,0,13,,1,,8,25.4
Marker 32,5,1,41,7,24,3D,4.482,,18.016,3.253,10.316,29.406,A,6.661,3,24.717,4.857,12.321,32.968,A,15.758,6,51.814,10.993,53.105,84.701,A,24.727,10,70.409,14.892,106.428,127.084,A,44.115,17,121.514,25.958,239.868,211.36,0,0,0,0,0,13,,0,,6.2,16.9
Marker 32,6,1,3,2,24,3D,4.69,,20.433,3.632,7.33,23.591,A,7.283,5,30.982,6.496,20.876,44.437,A,17.436,9,67.543,17.338,80.071,103.312,A,26.881,17,96.023,30.596,121.538,132.299,A,54.287,27,191.445,69.366,309.933,240.775,0,0,0,0,0,13,,0,,6.1,20.9
